Nation,Att_Strength,Def_Strength
Spain,0.9432192220065223,2.009092049932596
Portugal,0.9658315053559696,1.8634297894781473
France,0.9726819672466419,1.8489814559499096
England,0.9665248573263905,1.8161959041408995
Belgium,0.8238430890889036,1.724387176692519
Netherlands,0.843901659369826,1.7921078711942942
Italy,0.8399599884068418,1.7734436509365512
Germany,0.8679451254159077,1.890335997628323
Croatia,0.795396846165157,1.741006055140592
Switzerland,0.6685398186931243,1.3777790103914365
Denmark,0.6385535568182799,1.4019618888468617
Serbia,0.4376964272708739,0.9127938479310506
Poland,0.4441606227141042,0.9305911804808519
Scotland,0.403794566748277,0.8245116035264707
Austria,0.40249061122710283,0.8269783336316796
Ukraine,0.4378833273003117,0.9231686176986008
Argentina,0.920473776040128,1.882038699312548
Uruguay,0.8387839652622398,1.7675778438424514
Paraguay,0.40870250378923356,0.8440898470706872
Brazil,0.9042178179061287,1.8417603721937208
Colombia,0.6578695553989962,1.3343457825511222
Ecuador,0.4241943769366941,0.8914784029610126
Morocco,0.6387505793268691,1.3573859778673583
Senegal,0.6320836845281592,1.3643455208988662
Egypt,0.4087878273749932,0.8235517724884523
Nigeria,0.39828409242759316,0.8439615270267918
Algeria,0.4004460299943502,0.8192699660384299
Ivory Coast,0.4073883539590431,0.8410082393190803
Tunisia,0.4179341706841559,0.8287428913817213
Cameroon,0.4055810720951182,0.8521867010817769
Mali,0.40735514365380515,0.8238415170574459
Japan,0.6661224678939671,1.3747886148761428
Iran,0.39515667296381807,0.8617112996595526
South Korea,0.442221166174808,0.9295294536712126
Australia,0.4124069141606828,0.855739492680555
Saudi Arabia,0.39760352249817876,0.845156958888168
Qatar,0.407401567001152,0.8425165479554627
Iraq,0.4077354247469921,0.811533283396335
UAE,0.3998845328923601,0.8326114876721383
USA,0.6373266540739287,1.395461890652722
Mexico,0.4354029650442414,0.9056906332634053
Canada,0.40270334943658137,0.8283950036318951
Panama,0.4045473447340519,0.8351998865267346
Costa Rica,0.3973732289039366,0.8224663126644017
Jamaica,0.4023833635732564,0.8372271172269697
New Zealand,0.41145982823868055,0.8465864777991355
Sweden,0.4031670914106906,0.876355887292728
Peru,0.39519691541137913,0.8463249993132698
