Player_ID,Name,Nationality,Position,Date,Tier,Minutes,npxG_90,xA_90,SCA_90,Tackles_90,Interceptions_90,AerialWon_pct,PSxG_GA_90
0,Rodri,Spain,DM,2024-02-01,Tier_1,86,0.06489560319142233,0.07361328835052297,0.3236703068453983,6.0,3.587772411252967,0.7555551317122432,0.0
0,Rodri,Spain,DM,2024-12-30,Tier_1,81,0.0,0.1275698018345672,1.1993613100811948,5.166645000165378,3.299146693885301,0.9052278184508937,0.0
0,Rodri,Spain,DM,2023-05-11,Tier_1,51,0.20302281938970368,0.12731189147294186,1.4135270494354444,4.472983806459934,3.88305641339052,0.6495546549623409,0.0
0,Rodri,Spain,DM,2024-07-18,Tier_1,50,0.12229997972782976,0.0,0.0,4.564882873412131,3.6863468532627555,0.7524198767552731,0.0
0,Rodri,Spain,DM,2024-02-05,Tier_1,59,0.07843517176117594,0.059889630441071116,0.32147800963257245,4.8241246332842325,3.3696806145201057,0.8257122226218916,0.0
0,Rodri,Spain,DM,2024-01-01,Tier_1,89,0.1224083969394795,0.05149177195836834,1.1230779996940412,5.889341031072694,4.115499761247975,0.8131280119116199,0.0
0,Rodri,Spain,DM,2025-09-21,Tier_1,77,0.15984402592109614,0.10736020636648046,2.4622845136190623,5.592897730069703,3.515897455950457,0.8364768645504523,0.0
0,Rodri,Spain,DM,2023-11-11,Tier_1,77,0.07222678787293449,0.04896166913136995,2.9797163447007007,4.681433648435457,4.017397709615214,0.749656138432897,0.0
0,Rodri,Spain,DM,2025-06-27,Tier_1,45,0.1226845223970014,0.08188810458413126,2.2677947532631517,5.988897880535406,3.2101490596700604,0.6356103639656074,0.0
0,Rodri,Spain,DM,2021-05-02,Tier_1,71,0.0,0.1721902504375224,1.887047068238171,5.1607941196273055,3.645880388267751,0.5212431085399107,0.0
0,Rodri,Spain,DM,2022-04-12,Tier_1,74,0.1197650448508347,0.0,0.38140353698444174,5.552269587972133,3.6678769147382426,0.7808089662000961,0.0
0,Rodri,Spain,DM,2024-05-23,Tier_1,66,0.11930592456455724,0.17966303837109462,1.1896779826526653,5.1470672825521815,2.858787876570543,0.6971152483760984,0.0
0,Rodri,Spain,DM,2021-11-27,Tier_1,64,0.09970775493480404,0.18686449905328892,1.0979469061226474,5.137870282721785,3.4039459234339207,0.5736485051867881,0.0
0,Rodri,Spain,DM,2025-01-22,Tier_1,57,0.0,0.12455179438887662,1.4044835484197065,5.168690514824046,3.8264681632667545,0.7033939091648934,0.0
0,Rodri,Spain,DM,2021-03-29,Tier_1,76,0.27861859012105306,0.1074577812831839,2.0575503907227644,5.340443267387066,2.640614392350479,0.7173486124550783,0.0
0,Rodri,Spain,DM,2024-10-28,Tier_1,61,0.04582339767739871,0.08158349148188225,3.0370160729364613,4.258816892219557,3.7690113294375704,0.9174571196953486,0.0
0,Rodri,Spain,DM,2024-01-29,Tier_1,70,0.20428228145150207,0.16519330326867743,2.5910319470430467,4.672490036164208,4.301397155468049,0.5798148937207719,0.0
0,Rodri,Spain,DM,2023-05-22,Tier_1,50,0.21180504377565104,0.051054197569651794,1.3571976550943576,5.702581291792681,4.566919900464059,0.7280970805944567,0.0
0,Rodri,Spain,DM,2025-08-15,Tier_1,47,0.2606604953678462,0.17735894156353793,1.8091443457401373,5.107568562533965,3.924543366314553,0.5977126463324693,0.0
0,Rodri,Spain,DM,2021-05-11,Tier_1,85,0.0,0.24499344050175395,1.0167467076637626,5.1423507870354594,4.006758608684835,0.5969135683566045,0.0
0,Rodri,Spain,DM,2025-08-13,Tier_1,70,0.09130338997665509,0.12777695919730916,1.8628245997331823,5.801277092276937,3.526527303539813,0.738062297374022,0.0
0,Rodri,Spain,DM,2024-08-25,Tier_1,85,0.21993968142644874,0.003285384395044666,2.4176408455111447,6.0,3.713144134749437,0.8047401432576639,0.0
0,Rodri,Spain,DM,2023-02-09,Tier_1,79,0.14668940707870873,0.07354995658380954,1.6570090652924732,3.8523438435991597,3.67532952174164,0.7184285060147553,0.0
0,Rodri,Spain,DM,2021-12-10,Tier_1,80,0.0,0.1687084603742452,2.9585955790074037,4.743454145318631,4.081688064622161,0.7612780926936498,0.0
0,Rodri,Spain,DM,2025-02-24,Tier_1,61,0.13181185219555866,0.0,4.0733451580174815,5.517579720365773,3.8698046007918325,0.5701704362628068,0.0
0,Rodri,Spain,DM,2024-12-08,Tier_1,82,0.17786735481908958,0.06604054918061904,3.0093819706866336,5.8303680029535965,4.967211079530871,0.7293765430151946,0.0
0,Rodri,Spain,DM,2023-03-17,Tier_1,77,0.15256673477650062,0.0042842443583717416,0.7291075019388875,5.785977932194548,3.488268607337074,0.7914000494092092,0.0
0,Rodri,Spain,DM,2022-01-21,Tier_1,85,0.07723952057186255,0.12415908059487164,3.9188862122299915,6.0,3.1252404774105704,0.6603102668437247,0.0
0,Rodri,Spain,DM,2024-04-30,Tier_1,77,0.0,0.03870346823643781,2.5101092403639536,5.473983097240877,3.9150374693005032,0.8962937472303228,0.0
0,Rodri,Spain,DM,2023-08-14,Tier_1,68,0.15351125509019792,0.0,0.4943024459589094,4.799390525545861,3.0872500651399215,0.6016960388664947,0.0
0,Rodri,Spain,DM,2021-10-04,Tier_1,84,0.1983051243175277,0.1953802052034903,0.42233063204290877,4.649739968067902,3.8575176336043295,0.7713785950912209,0.0
0,Rodri,Spain,DM,2024-03-30,Tier_1,69,0.016704886495627666,0.10953464725469728,1.2440551022253823,5.297812137228891,2.8197214637813652,0.9200348089106103,0.0
0,Rodri,Spain,DM,2022-04-05,Tier_1,66,0.0,0.04449668260124337,1.3872383868098934,5.876514921443457,2.604231106734293,0.7626025866834002,0.0
0,Rodri,Spain,DM,2024-08-30,Tier_1,52,0.018469629074003166,0.15795977489346757,1.0696333682828632,5.573166871665579,3.6227859199519066,0.6548399652394182,0.0
0,Rodri,Spain,DM,2021-01-22,Tier_1,79,0.22634354909517043,0.1728765977604875,1.8151432782598642,5.753659213493385,4.124009871997476,0.6571430252524293,0.0
0,Rodri,Spain,DM,2021-09-10,Tier_1,63,0.010747926156729926,0.0785263558533101,2.304987278980457,6.0,2.9998517964721114,0.6865498764159051,0.0
0,Rodri,Spain,DM,2023-01-18,Tier_1,45,0.0,0.05568709358959018,1.9838555144095582,5.862317708079067,4.667320624003704,0.7426848821980786,0.0
0,Rodri,Spain,DM,2023-05-07,Tier_1,49,0.0,0.2743715797751846,1.0692585967703463,4.376064213389496,3.4813040193966653,0.9072005680472304,0.0
0,Rodri,Spain,DM,2025-05-04,Tier_1,70,0.1599092381859989,0.1499896633711006,1.3187518661764939,3.724964796771949,3.3899762676862415,0.7339204110956816,0.0
0,Rodri,Spain,DM,2022-04-20,Tier_1,49,0.05756045524326004,0.1424609000630509,4.987033338072969,5.467330816806336,4.0863164334493955,0.8744474838707792,0.0
1,Lamine Yamal,Spain,FW,2021-12-02,Tier_1,70,0.326176914885165,0.007534867234892745,8.0,0.8679318901015974,0.8047177558269013,0.701610826227198,0.0
1,Lamine Yamal,Spain,FW,2025-11-18,Tier_1,80,0.49486486740520047,0.0821268316332193,4.08323894551709,2.0116530708919713,1.4752119489077584,0.8888017032368914,0.0
1,Lamine Yamal,Spain,FW,2021-09-15,Tier_1,79,0.27123283880682175,0.0,5.6307972718187855,1.8295498541974196,1.3164298879196628,0.6760482124525723,0.0
1,Lamine Yamal,Spain,FW,2022-05-12,Tier_1,69,0.3873142130461845,0.0,5.97402685901851,3.503188100870085,0.0,0.6357264903513078,0.0
1,Lamine Yamal,Spain,FW,2023-06-15,Tier_1,63,0.48241663524884415,0.07698569456323154,6.396995964992717,1.376125620349531,0.13088965838326366,0.929238727568546,0.0
1,Lamine Yamal,Spain,FW,2021-06-09,Tier_1,79,0.5623541781691517,0.3043205188113887,5.957411131769353,1.0994516332975641,0.7022591581872775,0.887529324966822,0.0
1,Lamine Yamal,Spain,FW,2025-02-07,Tier_1,55,0.5113841341475424,0.22578807880999882,5.866696593097439,1.0630581820219736,0.8195546013072637,0.8072541591430479,0.0
1,Lamine Yamal,Spain,FW,2023-05-02,Tier_1,49,0.2918346074385454,0.09790090142440563,7.360692463180301,1.0899882012975517,0.3813156073646784,0.7658441296561979,0.0
1,Lamine Yamal,Spain,FW,2025-08-15,Tier_1,51,0.37815557787475634,0.06865528482881528,6.610907565598003,2.0802849735596416,0.9688298116010097,0.7040061470036573,0.0
1,Lamine Yamal,Spain,FW,2022-11-21,Tier_1,83,0.2913536381573665,0.04778228250490031,7.74374720968576,0.0,0.9659722337823423,0.7968339454305003,0.0
1,Lamine Yamal,Spain,FW,2025-08-26,Tier_1,85,0.5340171159278425,0.20333420250690737,5.760254640675405,0.0,0.11653313137616839,0.715475037626068,0.0
1,Lamine Yamal,Spain,FW,2022-01-15,Tier_1,77,0.47240924818104163,0.09125924007817948,6.397676098548831,0.28159217291562666,0.5522550871294712,0.7697998291245449,0.0
1,Lamine Yamal,Spain,FW,2025-04-18,Tier_1,85,0.37981865574723994,0.0,7.736754672549552,0.33864001839373603,0.46835837064145996,0.6599395318750415,0.0
1,Lamine Yamal,Spain,FW,2023-08-15,Tier_1,68,0.3047150540927639,0.16840064109141684,6.1422760417458955,0.0,1.0563002020089882,0.5389868675003984,0.0
